Crop;Organ;DVS;Fraction
pigeon_pea;Roots;1.3;0.3
pigeon_pea;Roots;1.75;0
pigeon_pea;Roots;2;0
pigeon_pea;Stems;0;0.5
pigeon_pea;Stems;0.65;0.5
pigeon_pea;Stems;1;0.57
pigeon_pea;Stems;1.45;0.5
pigeon_pea;Stems;1.85;0
pigeon_pea;Stems;2;0
pigeon_pea;Leaves;0;0.5
pigeon_pea;Leaves;0.65;0.5
pigeon_pea;Leaves;1;0.43
pigeon_pea;Leaves;1.45;0.34
pigeon_pea;Leaves;1.85;0
pigeon_pea;Leaves;2;0
pigeon_pea;StorageOrgans;0;0
pigeon_pea;StorageOrgans;0.65;0
pigeon_pea;StorageOrgans;1;0
pigeon_pea;StorageOrgans;1.45;0.16
pigeon_pea;StorageOrgans;1.85;1
pigeon_pea;StorageOrgans;2;1
potato;Roots;0;0.2
potato;Roots;1;0.2
potato;Roots;1.36;0
potato;Roots;2;0
potato;Stems;0;0.2
potato;Stems;1;0.2
potato;Stems;1.27;0.25
potato;Stems;1.36;0
potato;Stems;2;0
potato;Leaves;0;0.8
potato;Leaves;1;0.8
potato;Leaves;1.27;0
potato;Leaves;1.36;0
potato;Leaves;2;0
potato;StorageOrgans;0;0
potato;StorageOrgans;1;0
potato;StorageOrgans;1.27;0.75
potato;StorageOrgans;1.36;1
potato;StorageOrgans;2;1
oilseed_rape;Roots;0;0.2
oilseed_rape;Roots;0.3;0.2
oilseed_rape;Roots;1;0
oilseed_rape;Roots;2;0
oilseed_rape;Stems;0;0.3
oilseed_rape;Stems;0.2;0.3
oilseed_rape;Stems;0.3;0.5
oilseed_rape;Stems;0.7;0.7
oilseed_rape;Stems;1;0.85
oilseed_rape;Stems;1.19;0.55
oilseed_rape;Stems;1.2;0.7
oilseed_rape;Stems;1.35;0.3
oilseed_rape;Stems;1.7;0
oilseed_rape;Stems;2;0
oilseed_rape;Leaves;0;0.7
oilseed_rape;Leaves;0.2;0.7
oilseed_rape;Leaves;0.3;0.5
oilseed_rape;Leaves;0.7;0.3
oilseed_rape;Leaves;1;0.15
oilseed_rape;Leaves;1.19;0.15
oilseed_rape;Leaves;1.2;0
oilseed_rape;Leaves;2;0
oilseed_rape;StorageOrgans;0;0
oilseed_rape;StorageOrgans;1;0
oilseed_rape;StorageOrgans;1.19;0.3
oilseed_rape;StorageOrgans;1.2;0.3
oilseed_rape;StorageOrgans;1.35;0.7
oilseed_rape;StorageOrgans;1.7;1
oilseed_rape;StorageOrgans;2;1
rice;Roots;0;0.2
rice;Roots;0.5;0.2
rice;Roots;0.8;0.15
rice;Roots;1;0.15
rice;Roots;1.1;0
rice;Roots;2;0
rice;Stems;0;0.6
rice;Stems;0.5;0.65
rice;Stems;0.85;0.82
rice;Stems;0.9;0.55
rice;Stems;1;0.25
rice;Stems;1.1;0.15
rice;Stems;1.2;0
rice;Stems;2;0
rice;Leaves;0;0.4
rice;Leaves;0.5;0.35
rice;Leaves;0.85;0.18
rice;Leaves;0.9;0.15
rice;Leaves;1;0
rice;Leaves;1.1;0
rice;Leaves;2;0
rice;StorageOrgans;0;0
rice;StorageOrgans;0.5;0
rice;StorageOrgans;0.85;0
rice;StorageOrgans;0.9;0.3
rice;StorageOrgans;1;0.75
rice;StorageOrgans;1.1;0.85
rice;StorageOrgans;1.2;1
rice;StorageOrgans;2;1
sorghum;Roots;0;0.2
sorghum;Roots;0.85;0.2
sorghum;Roots;1.45;0
sorghum;Roots;2;0
sorghum;Stems;0;0.4
sorghum;Stems;0.56;0.4
sorghum;Stems;0.6;0.43
sorghum;Stems;1.35;0.39
sorghum;Stems;1.82;0
sorghum;Stems;2;0
sorghum;Leaves;0;0.6
sorghum;Leaves;0.56;0.6
sorghum;Leaves;0.6;0.57
sorghum;Leaves;1.35;0
sorghum;Leaves;1.82;0
sorghum;Leaves;2;0
sorghum;StorageOrgans;0;0
sorghum;StorageOrgans;0.56;0
sorghum;StorageOrgans;0.6;0
sorghum;StorageOrgans;1.35;0.61
sorghum;StorageOrgans;1.82;1
sorghum;StorageOrgans;2;1
soybean;Roots;0;0.65
soybean;Roots;0.75;0.35
soybean;Roots;1;0.15
soybean;Roots;1.5;0
soybean;Roots;2;0
soybean;Stems;0;0.3
soybean;Stems;1;0.3
soybean;Stems;1.15;0.25
soybean;Stems;1.3;0.1
soybean;Stems;1.5;0.1
soybean;Stems;2;0
soybean;Leaves;0;0.7
soybean;Leaves;1;0.7
soybean;Leaves;1.15;0.6
soybean;Leaves;1.3;0.43
soybean;Leaves;1.5;0.15
soybean;Leaves;2;0
soybean;StorageOrgans;0;0
soybean;StorageOrgans;1;0
soybean;StorageOrgans;1.15;0.15
soybean;StorageOrgans;1.3;0.47
soybean;StorageOrgans;1.5;0.75
soybean;StorageOrgans;2;1
sugar_beet;Roots;0;0.2
sugar_beet;Roots;0.91;0.29
sugar_beet;Roots;1;0.3
sugar_beet;Roots;1.15;0.15
sugar_beet;Roots;1.29;0.09
sugar_beet;Roots;1.3;0.09
sugar_beet;Roots;1.57;0.08
sugar_beet;Roots;1.92;0.01
sugar_beet;Roots;2;0.02
sugar_beet;Stems;0;0.15
sugar_beet;Stems;1;0.5
sugar_beet;Stems;1.3;0.1
sugar_beet;Stems;1.57;0.1
sugar_beet;Stems;1.92;0.05
sugar_beet;Stems;2;0.05
sugar_beet;Leaves;0;0.85
sugar_beet;Leaves;1;0.5
sugar_beet;Leaves;1.3;0.05
sugar_beet;Leaves;1.57;0.05
sugar_beet;Leaves;2;0.05
sugar_beet;StorageOrgans;0;0
sugar_beet;StorageOrgans;1;0
sugar_beet;StorageOrgans;1.3;0.85
sugar_beet;StorageOrgans;1.57;0.85
sugar_beet;StorageOrgans;1.92;0.9
sugar_beet;StorageOrgans;2;0.9
sugar_cane;Roots;0;0.67
sugar_cane;Roots;0.03;0.67
sugar_cane;Roots;0.15;0.67
sugar_cane;Roots;0.23;0.16
sugar_cane;Roots;0.48;0.16
sugar_cane;Roots;1;0.16
sugar_cane;Roots;1.1;0.16
sugar_cane;Roots;2;0.16
sugar_cane;Stems;0;0
sugar_cane;Stems;0.03;0
sugar_cane;Stems;0.15;0.21
sugar_cane;Stems;0.23;0.34
sugar_cane;Stems;0.48;0.76
sugar_cane;Stems;1;0.76
sugar_cane;Stems;1.1;0
sugar_cane;Stems;2;0
sugar_cane;Leaves;0;1
sugar_cane;Leaves;0.03;1
sugar_cane;Leaves;0.15;0.79
sugar_cane;Leaves;0.23;0.66
sugar_cane;Leaves;0.48;0.24
sugar_cane;Leaves;1;0.24
sugar_cane;Leaves;1.1;0
sugar_cane;Leaves;2;0
sugar_cane;StorageOrgans;0;0
sugar_cane;StorageOrgans;1;0
sugar_cane;StorageOrgans;1.1;1
sugar_cane;StorageOrgans;2;1
sunflower;Roots;0;0.5
sunflower;Roots;0.65;0.5
sunflower;Roots;1.1;0
sunflower;Roots;2;0
sunflower;Stems;0;0.5
sunflower;Stems;0.85;0.5
sunflower;Stems;0.91;0.59
sunflower;Stems;1;0.8
sunflower;Stems;1.22;0.28
sunflower;Stems;1.35;0
sunflower;Stems;2;0
sunflower;Leaves;0;0.5
sunflower;Leaves;0.85;0.5
sunflower;Leaves;0.91;0.41
sunflower;Leaves;1;0.2
sunflower;Leaves;1.22;0
sunflower;Leaves;1.35;0
sunflower;Leaves;2;0
sunflower;StorageOrgans;0;0
sunflower;StorageOrgans;0.85;0
sunflower;StorageOrgans;0.91;0
sunflower;StorageOrgans;1;0
sunflower;StorageOrgans;1.22;0.72
sunflower;StorageOrgans;1.35;1
sunflower;StorageOrgans;2;1
sweet_potato;Roots;0;0.35
sweet_potato;Roots;1.5;0
sweet_potato;Roots;2;0
sweet_potato;Stems;0;0.4
sweet_potato;Stems;1;0.4
sweet_potato;Stems;1.55;0.15
sweet_potato;Stems;1.65;0
sweet_potato;Stems;2;0
sweet_potato;Leaves;0;0.6
sweet_potato;Leaves;1;0.6
sweet_potato;Leaves;1.55;0
sweet_potato;Leaves;1.65;0
sweet_potato;Leaves;2;0
sweet_potato;StorageOrgans;0;0
sweet_potato;StorageOrgans;1;0
sweet_potato;StorageOrgans;1.55;0.85
sweet_potato;StorageOrgans;1.65;1
sweet_potato;StorageOrgans;2;1
tobacco;Roots;0;0.2
tobacco;Roots;0.25;0.25
tobacco;Roots;1.5;0.15
tobacco;Roots;2;0.25
tobacco;Stems;0;0.3
tobacco;Stems;0.3;0.15
tobacco;Stems;0.45;0.15
tobacco;Stems;1;0.6
tobacco;Stems;2;0.32
tobacco;Leaves;0;0.7
tobacco;Leaves;0.3;0.85
tobacco;Leaves;0.45;0.85
tobacco;Leaves;1;0.4
tobacco;Leaves;2;0.4
tobacco;StorageOrgans;0;0
tobacco;StorageOrgans;1;0
tobacco;StorageOrgans;2;0.28
wheat;Roots;0;0.5
wheat;Roots;0.1;0.5
wheat;Roots;0.2;0.4
wheat;Roots;0.35;0.22
wheat;Roots;0.4;0.17
wheat;Roots;0.5;0.13
wheat;Roots;0.7;0.07
wheat;Roots;0.9;0.03
wheat;Roots;1.2;0
wheat;Roots;2;0
wheat;Stems;0;0.35
wheat;Stems;0.1;0.35
wheat;Stems;0.25;0.3
wheat;Stems;0.5;0.5
wheat;Stems;0.65;0.7
wheat;Stems;0.95;1
wheat;Stems;1;0
wheat;Stems;2;0
wheat;Leaves;0;0.65
wheat;Leaves;0.1;0.65
wheat;Leaves;0.25;0.7
wheat;Leaves;0.5;0.5
wheat;Leaves;0.65;0.3
wheat;Leaves;0.95;0
wheat;Leaves;2;0
wheat;StorageOrgans;0;0
wheat;StorageOrgans;0.95;0
wheat;StorageOrgans;1;1
wheat;StorageOrgans;2;1
